#,Música,Artista,Popularidade,BPM,Gêneros,Álbum,Data do Álbum,Duração,Duração_segundos,Dançabilidade,Energia,Acústica,Instrumentalidade,Valência,Fala,Ao Vivo,Volume (Db),Tom,Compasso,Adicionado em,Spotify Track Id,Camelot,ISRC,Explícito
59,Oil (feat. Stevie Nicks),"Gorillaz,Stevie Nicks",64,127,"rock, rock alternativo",Cracker Island,2023-02-24,03:50,230,63,95,0,0,36,0,20,-4,F Major,4,2026-07-17,36MGfjOTOwx1udRX5dDnoJ,7B,GBAYE2200460,no
60,GOSSIP (feat. Tom Morello),"Måneskin,Tom Morello",54,140,rock,RUSH!,2023-01-20,02:48,168,70,82,0,0,91,0,0,-3,A Major,4,2026-07-17,2nImLUFhZ5lpboRkNB0J2x,11B,ITB002200841,yes
61,MORE THAN YOU KNOW,blink-182,44,126,"pop punk, punk, skate punk, rock, emo",ONE MORE TIME...,2023-10-27,03:37,217,60,99,0,0,31,10,0,-3,E Major,4,2026-07-17,6is198totXPWEoY2ulZ4A5,12B,USSM12306396,no
62,VOID,Melanie Martinez,58,100,"pop alternativo, pop, rock",PORTALS,2023-03-31,04:07,247,72,66,18,4,42,0,10,-7,A Major,4,2026-07-17,6KqOVYU3af2wsqxh1iO1lx,11B,USAT22220418,no
63,Djennaration,Liturgy,27,126,"black metal, vanguarda, drone metal",93696,2023-03-24,08:20,500,17,97,0,90,6,10,10,-5,D Major,4,2026-07-17,2yF0Gpl0t5aUvnlL2cm9Hg,10B,USTJ22358102,no
64,Locals (Girls like us) [with gabby start],"underscores,gabby start",58,134,hyperpop,Wallsocket,2023-09-22,04:18,258,73,68,1,0,52,10,0,-6,A Major,4,2026-07-17,42FM6tM3n06euZCvpJn3dn,11B,USQE92300060,no
65,Bogus Operandi,The Hives,52,145,garage rock,The Death Of Randy Fitzsimmons,2023-08-11,03:43,223,36,99,2,0,8,10,30,-2,B Minor,4,2026-07-17,74vF2AJsJr4Bz5gJivquDS,10A,NLRD52317987,yes
66,WILL U STILL U,Jeff Rosenstock,40,110,"folk punk, punk indie, power pop, ska punk",HELLMODE,2023-08-31,03:20,200,61,91,0,0,51,0,10,-5,B Major,4,2026-07-17,4fMvjawqxG18OzaMJBrmig,1B,US3R42347501,yes
67,The Summoning,Sleep Token,75,173,"metal progressivo, metalcore",Take Me Back To Eden,2023-05-19,06:35,395,40,70,0,0,15,0,0,-5,A#/B♭ Minor,4,2026-07-17,0S38Oso3I9vpDXcTb7kYt9,3A,GBUM72200352,no
68,Love From The Other Side,Fall Out Boy,60,158,"emo, pop punk",So Much (For) Stardust,2023-03-24,04:39,279,42,90,0,0,22,10,30,-6,E Minor,4,2026-07-17,2W0ML0bVXNew4Jmc40Rpzj,9A,USAT22222691,no
69,I See Myself,Geese,64,132,art rock,3D Country,2023-06-23,03:00,180,77,61,17,0,89,0,40,-8,F Major,4,2026-07-17,4gFFHAj5iwUEHwPpjZTdi5,7B,USBQU2200321,no
70,Any Time Of Day,The Lemon Twigs,14,134,"pop barroco, power pop",Everything Harmony,2023-05-05,02:51,171,57,63,46,0,35,0,10,-7,B Major,4,2026-07-17,4NT4LbSip4Es4stbiC27jT,1B,QMMZN2102409,no
71,Jesus He Knows Me,Ghost,43,95,"metal, hard rock",Phantomime,2023-05-19,04:05,245,47,96,0,0,20,0,10,-5,G Major,4,2026-07-18,0TDEMCEQXYM4KxNp3SBdjx,9B,USC4R2225683,no
72,Knockoff,Poppy,44,113,rock,Zig,2023-10-27,03:04,184,70,68,19,6,58,0,20,-8,C Major,4,2026-07-18,1h8To3eAGO9bFZClu2ZXtv,8B,USYFZ2351802,yes
73,Rabid Funeral,Autopsy,15,106,"death metal, grindcore, metal","Ashes, Organs, Blood and Crypts",2023-10-27,05:01,301,16,99,0,28,4,10,30,-3,F Minor,4,2026-07-18,0Uxni61tUti9r6TsCiIzSp,4A,GBCQV2300165,yes
74,My Love Mine All Mine,Mitski,88,114,"pop alternativo, rock alternativo",The Land Is Inhospitable and So Are We,2023-09-15,02:17,137,50,31,87,14,12,0,10,-15,A Major,4,2026-07-18,3vkCueOmm7xQDoJ17W1Pm3,11B,USJ5G2335007,no
75,Hollywood Baby,100 gecs,59,77,"hyperpop, glitch","10,000 gecs",2023-03-17,03:07,187,43,87,2,0,61,10,20,-3,A#/B♭ Major,4,2026-07-18,0oigSejhoNen2EdNAIFcm5,6B,USAT22208967,yes
76,Sou Má,"LUDMILLA,Tasha & Tracie,Ajaxx",50,130,"pagode, pop nacional, funk pop, funk, pagode baiano, funk carioca, samba, hip hop brasileiro, trap brasileiro, trap funk, trap",VILÃ,2023-03-24,03:30,210,84,67,9,0,64,20,0,-7,F#/G♭ Minor,4,2026-07-19,7vJQNVZgwTLIh98biCmpRs,11A,BRWMB2300056,no
77,Dano Sarrada,Marina Sena,59,130,"pop nacional, nova mpb, mpb",Vício Inerente,2023-04-27,03:25,205,68,84,12,0,29,0,10,-6,C♯/D♭ Minor,4,2026-07-19,1vtXEy3Ii46hL6wML8H5He,12A,BCMA52300005,no
78,Penhasco2,"Luísa Sonza,Demi Lovato",55,124,"pop nacional, funk pop, funk, pop",Escândalo Íntimo,2024-05-28,02:53,173,46,28,72,0,17,0,10,-9,G Minor,4,2026-07-19,0t5cfOZxePTvuYXTywHzjH,6A,BRSME2301255,no
79,Sintoniza,"IZA,Djonga",38,90,"pop nacional, hip hop brasileiro, boom bap, trap brasileiro",AFRODHIT,2023-08-03,02:58,178,73,82,14,0,67,20,30,-3,F#/G♭ Major,4,2026-07-19,52aonA32y0YYt1NfnZNvWv,2B,BRWMB2301047,no
80,Camisa P,"Major RD,Rock Danger,Xamã,Froid,Cynthia Luz",59,92,"trap brasileiro, hip hop brasileiro, trap, trap funk, boom bap",Ascensão do Cisne Negro,2023-09-27,03:13,193,72,58,56,0,48,20,10,-7,B Minor,4,2026-07-19,0DPjN6E1YtYIH42IPomCNM,10A,BXQZW2300037,yes
81,da lua,"Djonga,Veigh,LISBOA",64,103,"hip hop brasileiro, boom bap, trap brasileiro, trap funk, trap, pagode",Inocente  Demotape ,2023-10-13,03:29,209,70,55,38,0,50,40,10,-7,A#/B♭ Minor,4,2026-07-19,0F1FsfYvx7eyAC64EPzD7S,3A,BCQAL2300038,yes
82,Sereia,"Orochi,MC Ryan SP,Oruam,Xamã,Neo Beats,Kizzy,Mainstreet",70,115,"trap brasileiro, hip hop brasileiro, trap funk, trap, funk, funk consciente",Vida Cara,2023-01-09,04:54,294,65,66,28,0,51,10,10,-5,A Major,5,2026-07-19,5geU4byUA1hnQofQPOsPDS,11B,BCM9A2200050,yes
83,DAMN!,"Ryu, The Runner,Emitê Único,Salve Crazy,Luk The Real,6ee",23,145,"trap brasileiro, trap, trap funk, hip hop brasileiro",Essa é a Vida de um Corredor,2023-03-03,02:16,136,90,44,27,0,92,30,20,-11,A#/B♭ Major,4,2026-07-19,1zblwa2oHKyCerxA1hLEvO,6B,BCY5N2300005,yes
84,99 Problemas,"Duquesa,Mc Luanna,Go Dassisti",66,116,"trap brasileiro, hip hop brasileiro",TAURUS,2023-06-30,03:10,190,91,50,22,0,67,20,10,-10,F#/G♭ Major,4,2026-07-19,5dFYzcIVBUCu6YIix6cdNw,2B,BXBGP2300064,yes
85,DJAVAN,"Luccas Carlos,Maui,Francci",40,130,"hip hop brasileiro, pop nacional, trap brasileiro, boom bap, synthwave, chillwave",Dois,2023-11-07,03:01,181,77,89,57,0,89,0,10,-5,D#/E♭ Minor,4,2026-07-19,5ulRqyIxWd5Zz5E3835dA5,2A,BRRGE2300861,no
86,Tenho Que Me Decidir,"MC PH,Borges,WIU,Pedro Lotto,WEY",67,124,"funk, trap funk, funk consciente, trap brasileiro, trap, hip hop brasileiro",O Cara Do Momento,2023-11-29,03:52,232,80,60,39,0,75,0,10,-7,C♯/D♭ Major,4,2026-07-19,697gwO5YoSGVAnlfREIZll,3B,BXG6R2301027,yes
87,Alma,"Tz da Coronel,Ariel Donato,Cúpula",56,110,"trap brasileiro, trap funk, trap, hip hop brasileiro",Dacoromode,2023-10-18,03:36,216,65,59,32,0,21,0,10,-7,E Minor,4,2026-07-19,0cGZqldxzID9FkSZtPowHt,9A,BC2TS2300004,no
88,Dialogo,"Yunk Vino,D Santana,Labbel Rec",62,122,"trap brasileiro, trap, trap funk, hip hop brasileiro","Meu Amigo Diário, Vol. 1 - M.A.D",2023-05-08,02:21,141,88,45,43,0,59,0,10,-8,F#/G♭ Minor,4,2026-07-20,5T9QnISeG2Q6Ysu9HbaAzS,11A,BXBGP2300046,yes
89,BOM TE ENCONTRAR,"BK,João Gomes,Nansy Silvvz,Gigantes",71,137,"hip hop brasileiro, boom bap, trap brasileiro, piseiro, forró, arrocha, sertanejo, forró tradicional, brega",VERÃO CRIMINOSO,2023-12-15,03:17,197,83,56,61,0,69,0,10,-6,A Major,4,2026-07-20,1lE8MVHnEAVwvxjTTCo874,11B,BXA5K2300023,yes
90,No Tempo da Intolerância,Elza Soares,39,148,"samba, mpb, bossa nova",No Tempo da Intolerância,2023-06-23,02:50,170,59,88,20,0,88,0,60,-6,E Minor,4,2026-07-20,2GY2ilbruCbGkeyRKQL7yB,9A,BRDEP2300278,yes
91,ETAPAS,"Tchelo,retroboy",29,150,"trap brasileiro, trap, trap funk",EU TIVE UM SONHO,2023-11-17,01:58,118,73,82,14,0,40,0,10,-4,F#/G♭ Minor,4,2026-07-20,0x06HxrYMORavjLJ3dqwNv,11A,QZZ8A2341937,no
92,Chove Chuva,"Big Bllakk,Rock Danger,Sant,$amuka,Babidi",45,90,"boom bap, grime, hip hop brasileiro, drill, trap brasileiro, trap, trap funk","ERREJOTACULTDRILL, Vol. 2 - Esquema Novo",2023-07-28,02:50,170,47,70,32,0,44,30,10,-6,F#/G♭ Minor,5,2026-07-20,1zPrPaYao8QKaGRimp68ZM,11A,BXQZW2300027,yes
93,De Atual Pra Ex - Ao Vivo,"Dilsinho,Diego & Victor Hugo",38,85,"pagode, samba, sertanejo, piseiro, sertanejo universitário, arrocha",Diferentão (Ao Vivo),2023-05-12,03:24,204,29,61,61,0,32,0,90,-7,C♯/D♭ Major,4,2026-07-20,5TkPX6QxN9vHoINZ4YinvB,3B,BCG3G2200079,no
94,Oito Correntes,"Victor Xamã,MANDNAH,Gabi Farias",30,146,"boom bap, hip hop brasileiro, trap brasileiro",GARCIA,2023-03-31,03:01,181,76,77,6,0,88,20,30,-7,G#/A♭ Major,4,2026-07-20,7vO9eG10nJyI9g55cCKG38,4B,BX95V2200002,no
95,MEIO TERMO - Ao Vivo,Luan Santana,76,164,"sertanejo, sertanejo universitário, arrocha",LUAN CITY 2.0 (Ao Vivo),2023-11-09,02:55,175,48,96,12,0,34,10,30,-5,A Major,4,2026-07-20,23IebZSNZ8VzwUr4rJNGRG,11B,BR27R2300005,no
96,Calma Amiga,"Pabllo Vittar,Anitta,DJ RaMeMes (O DESTRUIDOR DO FUNK)",34,130,"pop nacional, funk pop, tecnobrega, funk, funk carioca, funk bruxaria",Noitada,2023-02-08,01:09,69,75,92,0,1,20,0,10,-5,C♯/D♭ Major,4,2026-07-20,4OEXVeacL0PktT4itDyReM,3B,BCM112300004,yes
